Price,close,high,low,open,volume
Ticker,ZC=F,ZC=F,ZC=F,ZC=F,ZC=F
date,,,,,
2025-10-10 02:00:00,418.75,419.0,418.0,418.25,257
2025-10-10 02:30:00,419.0,419.25,418.5,418.5,667
2025-10-10 03:00:00,419.0,419.0,418.75,419.0,76
2025-10-10 03:30:00,418.5,418.75,418.5,418.75,1655
2025-10-10 04:00:00,419.0,419.0,418.5,418.5,182
2025-10-10 04:30:00,418.75,419.25,418.75,418.75,245
2025-10-10 05:00:00,419.25,419.25,418.75,418.75,67
2025-10-10 05:30:00,419.0,419.25,419.0,419.25,35
2025-10-10 06:00:00,418.75,419.25,418.75,419.25,160
2025-10-10 06:30:00,418.5,418.75,418.5,418.75,126
2025-10-10 07:00:00,419.0,419.0,418.75,418.75,287
2025-10-10 07:30:00,419.0,419.0,418.75,419.0,191
2025-10-10 08:00:00,419.25,419.25,418.5,419.0,402
2025-10-10 08:30:00,418.5,419.0,418.5,419.0,288
2025-10-10 09:00:00,418.25,418.75,418.25,418.75,616
2025-10-10 09:30:00,417.75,418.25,417.5,418.25,1837
2025-10-10 10:00:00,417.5,418.25,417.5,417.75,1040
2025-10-10 10:30:00,417.75,418.0,417.5,417.5,692
2025-10-10 11:00:00,417.5,418.0,417.5,418.0,540
2025-10-10 11:30:00,417.75,417.75,417.5,417.75,390
2025-10-10 12:00:00,417.5,417.75,417.5,417.5,360
2025-10-10 12:30:00,417.25,417.75,417.25,417.5,452
2025-10-10 13:00:00,417.5,417.75,417.0,417.5,1891
2025-10-10 13:30:00,416.75,417.5,416.75,417.5,4676
2025-10-10 14:00:00,416.75,417.25,416.5,416.75,5404
2025-10-10 14:30:00,416.5,417.0,416.5,416.75,1004
2025-10-10 15:30:00,416.0,416.75,415.25,416.75,32677
2025-10-10 16:00:00,416.0,416.25,415.0,416.25,14940
2025-10-10 16:30:00,415.0,416.0,414.5,416.0,14150
2025-10-10 17:00:00,412.5,415.0,412.25,415.0,27396
2025-10-10 17:30:00,413.5,413.75,412.25,412.5,15975
2025-10-10 18:00:00,413.75,414.25,413.0,413.5,11611
2025-10-10 18:30:00,413.0,414.5,413.0,414.0,10804
2025-10-10 19:00:00,413.75,413.75,412.75,413.25,6596
2025-10-10 19:30:00,413.75,414.0,413.0,413.75,8800
2025-10-10 20:00:00,413.5,413.75,412.75,413.5,35609
2025-10-13 06:00:00,413.25,413.5,413.25,413.5,75
2025-10-13 06:30:00,413.25,413.25,413.0,413.25,355
2025-10-13 07:00:00,413.25,413.25,413.0,413.0,52
2025-10-13 07:30:00,413.0,413.25,413.0,413.0,97
2025-10-13 08:00:00,413.25,413.25,412.75,413.0,799
2025-10-13 08:30:00,413.25,413.25,412.75,413.25,958
2025-10-13 09:00:00,413.5,413.75,413.0,413.0,830
2025-10-13 09:30:00,413.75,413.75,413.25,413.5,369
2025-10-13 10:00:00,413.25,414.0,413.25,413.5,678
2025-10-13 10:30:00,413.25,413.5,412.75,413.0,2322
2025-10-13 11:00:00,413.25,413.5,413.0,413.5,386
2025-10-13 11:30:00,414.25,414.25,413.0,413.25,1011
2025-10-13 12:00:00,413.75,414.25,413.5,414.25,430
2025-10-13 12:30:00,413.5,413.75,413.25,413.75,1870
2025-10-13 13:00:00,413.0,414.0,413.0,413.5,1401
2025-10-13 13:30:00,413.25,414.0,412.75,413.0,1611
2025-10-13 14:00:00,412.5,413.5,412.25,413.25,1730
2025-10-13 14:30:00,413.25,413.25,412.5,412.5,1323
2025-10-13 15:30:00,413.25,413.75,412.25,413.25,16798
2025-10-13 16:00:00,411.25,413.25,411.0,413.0,18963
2025-10-13 16:30:00,411.0,412.0,411.0,411.25,24314
2025-10-13 17:00:00,410.75,411.5,410.5,411.25,10114
2025-10-13 17:30:00,410.75,411.5,410.5,410.5,8871
2025-10-13 18:00:00,410.75,411.0,410.5,410.75,8101
2025-10-13 18:30:00,410.75,411.0,410.5,410.75,8097
2025-10-13 19:00:00,411.25,411.75,410.75,411.0,7571
2025-10-13 19:30:00,411.0,411.5,411.0,411.0,4584
2025-10-13 20:00:00,410.5,411.25,410.5,411.0,18099
2025-10-14 02:00:00,411.25,411.5,410.75,410.75,837
2025-10-14 02:30:00,411.25,411.5,410.75,411.25,606
2025-10-14 03:00:00,411.25,411.25,411.0,411.25,981
2025-10-14 03:30:00,410.75,411.5,410.75,411.25,753
2025-10-14 04:00:00,410.75,411.25,410.75,411.0,267
2025-10-14 04:30:00,411.25,411.25,410.75,410.75,672
2025-10-14 05:00:00,411.0,411.25,411.0,411.0,189
2025-10-14 05:30:00,411.0,411.25,411.0,411.25,57
2025-10-14 06:00:00,410.75,411.25,410.5,411.25,541
2025-10-14 06:30:00,410.75,410.75,410.5,410.75,172
2025-10-14 07:00:00,411.0,411.0,410.75,411.0,299
2025-10-14 08:00:00,410.5,411.0,410.5,410.75,991
2025-10-14 08:30:00,411.0,411.0,410.5,410.75,425
2025-10-14 09:00:00,411.0,411.0,410.5,410.75,782
2025-10-14 09:30:00,411.0,411.0,410.75,411.0,593
2025-10-14 10:00:00,410.75,411.0,410.5,410.75,637
2025-10-14 10:30:00,410.5,411.0,410.5,411.0,381
2025-10-14 11:00:00,411.0,411.0,410.5,410.5,488
2025-10-14 11:30:00,410.5,411.0,410.25,410.75,2181
2025-10-14 12:00:00,410.5,410.75,410.25,410.5,1698
2025-10-14 12:30:00,410.75,410.75,409.5,410.5,8864
2025-10-14 13:00:00,410.5,410.75,410.25,410.5,804
2025-10-14 13:30:00,410.5,410.75,410.0,410.5,1995
2025-10-14 14:00:00,409.75,410.75,409.5,410.75,2251
2025-10-14 14:30:00,409.75,410.0,409.5,409.75,1921
2025-10-14 15:30:00,412.25,412.75,409.25,409.75,41463
2025-10-14 16:00:00,412.5,413.0,411.5,412.0,18631
2025-10-14 16:30:00,412.25,413.0,411.5,412.5,13033
2025-10-14 17:00:00,412.0,412.75,411.75,412.5,12451
2025-10-14 17:30:00,411.5,412.25,411.25,412.0,14410
2025-10-14 18:00:00,411.75,412.5,411.0,411.5,5502
2025-10-14 18:30:00,412.25,412.5,411.25,411.75,3975
2025-10-14 19:00:00,412.5,413.0,411.75,412.0,4981
2025-10-14 19:30:00,412.75,413.5,412.5,412.5,8072
2025-10-14 20:00:00,413.25,413.5,412.5,412.5,22061
2025-10-15 02:00:00,411.75,413.0,411.5,412.75,889
2025-10-15 02:30:00,412.0,412.0,411.5,411.5,1499
2025-10-15 03:00:00,412.5,412.75,412.0,412.25,571
2025-10-15 03:30:00,412.5,412.5,412.25,412.5,133
2025-10-15 04:00:00,412.5,412.75,412.5,412.5,16
2025-10-15 04:30:00,412.5,412.75,412.25,412.5,183
2025-10-15 05:00:00,412.5,412.75,412.5,412.5,76
2025-10-15 05:30:00,412.75,412.75,412.5,412.75,34
2025-10-15 06:00:00,412.75,412.75,412.5,412.5,110
2025-10-15 06:30:00,412.5,412.5,412.5,412.5,1
2025-10-15 07:00:00,412.75,412.75,412.5,412.75,49
2025-10-15 07:30:00,412.75,412.75,412.5,412.5,25
2025-10-15 08:00:00,412.25,412.5,412.25,412.5,228
2025-10-15 08:30:00,412.25,412.5,412.0,412.25,576
2025-10-15 09:00:00,412.25,412.5,412.0,412.5,134
2025-10-15 09:30:00,412.5,413.0,412.25,412.25,921
2025-10-15 10:00:00,412.25,412.75,412.25,412.75,287
2025-10-15 10:30:00,412.5,413.0,412.25,412.25,761
2025-10-15 11:00:00,412.25,412.75,411.75,412.25,942
2025-10-15 11:30:00,412.25,412.5,411.75,412.25,208
2025-10-15 12:00:00,411.75,412.25,411.5,412.0,415
2025-10-15 12:30:00,411.75,412.0,411.25,412.0,711
