Price,close,high,low,open,volume
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F
date,,,,,
2025-10-10 02:00:00,1038.75,1039.0,1037.0,1038.0,343
2025-10-10 02:30:00,1039.75,1040.5,1038.75,1038.75,221
2025-10-10 03:00:00,1039.75,1040.25,1039.5,1039.75,110
2025-10-10 03:30:00,1039.25,1039.75,1038.75,1039.75,183
2025-10-10 04:00:00,1039.0,1039.25,1038.75,1039.25,92
2025-10-10 04:30:00,1039.0,1039.5,1039.0,1039.25,376
2025-10-10 05:00:00,1038.75,1039.0,1038.75,1039.0,74
2025-10-10 05:30:00,1039.25,1039.25,1038.75,1038.75,86
2025-10-10 06:00:00,1039.25,1039.25,1039.25,1039.25,22
2025-10-10 06:30:00,1037.25,1039.0,1037.25,1039.0,129
2025-10-10 07:00:00,1038.25,1038.25,1037.5,1037.5,66
2025-10-10 07:30:00,1037.5,1038.0,1036.75,1038.0,131
2025-10-10 08:00:00,1038.5,1039.0,1036.75,1037.5,176
2025-10-10 08:30:00,1037.75,1038.5,1037.25,1038.5,249
2025-10-10 09:00:00,1035.5,1038.0,1035.0,1038.0,637
2025-10-10 09:30:00,1033.0,1035.25,1033.0,1035.25,757
2025-10-10 10:00:00,1033.5,1033.5,1032.75,1033.25,223
2025-10-10 10:30:00,1033.25,1033.5,1033.0,1033.5,255
2025-10-10 11:00:00,1031.75,1033.25,1031.5,1033.25,320
2025-10-10 11:30:00,1030.75,1031.5,1030.5,1031.5,312
2025-10-10 12:00:00,1030.5,1031.25,1030.25,1030.75,430
2025-10-10 12:30:00,1030.25,1031.0,1030.0,1030.25,256
2025-10-10 13:00:00,1031.0,1031.5,1030.0,1030.0,364
2025-10-10 13:30:00,1028.25,1031.0,1028.0,1031.0,1255
2025-10-10 14:00:00,1030.25,1031.25,1027.75,1028.25,1711
2025-10-10 14:30:00,1029.25,1031.25,1029.25,1030.25,521
2025-10-10 15:30:00,1028.75,1031.5,1028.25,1029.75,12994
2025-10-10 16:00:00,1028.75,1029.5,1026.5,1028.75,7862
2025-10-10 16:30:00,1024.75,1031.5,1024.5,1028.75,7261
2025-10-10 17:00:00,1019.0,1025.0,1018.75,1024.75,17866
2025-10-10 17:30:00,1020.0,1022.0,1018.5,1019.0,3287
2025-10-10 18:00:00,1021.75,1023.25,1019.25,1020.0,5168
2025-10-10 18:30:00,1022.0,1024.25,1021.25,1021.75,7339
2025-10-10 19:00:00,1022.5,1023.25,1020.75,1021.75,6096
2025-10-10 19:30:00,1021.5,1022.5,1021.0,1022.5,9611
2025-10-10 20:00:00,1023.25,1024.25,1021.0,1021.5,15613
2025-10-13 06:00:00,1026.0,1026.0,1023.25,1023.25,7939
2025-10-13 06:30:00,1025.5,1026.0,1025.5,1026.0,15
2025-10-13 07:00:00,1025.75,1025.75,1025.25,1025.5,77
2025-10-13 07:30:00,1025.5,1026.0,1025.25,1025.75,52
2025-10-13 08:00:00,1026.0,1026.25,1025.25,1025.25,88
2025-10-13 08:30:00,1026.5,1027.25,1025.5,1026.0,431
2025-10-13 09:00:00,1026.5,1026.75,1025.25,1026.25,84
2025-10-13 09:30:00,1026.75,1026.75,1025.75,1025.75,52
2025-10-13 10:00:00,1025.75,1027.25,1025.5,1026.75,168
2025-10-13 10:30:00,1026.25,1026.25,1025.0,1025.5,283
2025-10-13 11:00:00,1025.25,1026.25,1025.25,1026.0,264
2025-10-13 11:30:00,1026.25,1026.5,1025.25,1025.5,175
2025-10-13 12:00:00,1025.0,1026.75,1025.0,1026.5,176
2025-10-13 12:30:00,1026.25,1026.25,1024.75,1025.5,183
2025-10-13 13:00:00,1024.75,1026.75,1024.5,1026.5,594
2025-10-13 13:30:00,1026.0,1026.5,1024.75,1024.75,649
2025-10-13 14:00:00,1025.5,1026.25,1025.0,1025.75,778
2025-10-13 14:30:00,1026.5,1027.0,1025.25,1025.25,197
2025-10-13 15:30:00,1029.75,1030.75,1025.25,1026.75,30578
2025-10-13 16:00:00,1025.0,1030.0,1024.25,1029.75,6478
2025-10-13 16:30:00,1026.25,1028.25,1024.75,1024.75,3650
2025-10-13 17:00:00,1024.25,1026.75,1024.0,1026.5,3122
2025-10-13 17:30:00,1023.5,1025.75,1023.5,1024.25,1979
2025-10-13 18:00:00,1025.0,1025.25,1023.0,1023.5,2221
2025-10-13 18:30:00,1025.0,1025.5,1024.0,1025.0,2927
2025-10-13 19:00:00,1026.25,1027.5,1025.0,1025.25,6003
2025-10-13 19:30:00,1025.0,1027.25,1024.75,1026.0,4090
2025-10-13 20:00:00,1025.75,1026.25,1024.5,1025.25,15159
2025-10-14 02:00:00,1026.75,1027.5,1024.25,1024.75,322
2025-10-14 02:30:00,1026.75,1027.0,1026.75,1026.75,30
2025-10-14 03:00:00,1026.5,1027.25,1026.0,1026.75,111
