Price,close,high,low,open,volume
Ticker,ZW=F,ZW=F,ZW=F,ZW=F,ZW=F
date,,,,,
2025-10-09 02:00:00,506.5,513.5,506.5,508.0,79086
2025-10-10 02:00:00,498.5,509.5,496.75,508.5,63513
2025-10-13 02:00:00,496.75,501.75,494.5,499.25,63513
2025-10-14 02:00:00,500.25,501.75,492.25,498.5,65741
2025-10-15 02:00:00,498.75,501.25,494.75,501.0,57004
2025-10-16 02:00:00,502.5,503.75,495.25,500.0,53290
2025-10-17 02:00:00,503.75,505.0,500.25,502.25,38177
2025-10-20 02:00:00,504.75,507.25,502.0,505.0,37582
2025-10-21 02:00:00,500.25,506.25,498.0,504.75,41036
2025-10-22 02:00:00,503.75,505.5,498.25,501.75,45473
2025-10-23 02:00:00,513.0,513.5,502.5,504.75,58191
2025-10-24 02:00:00,512.5,515.5,509.75,512.0,59008
2025-10-27 01:00:00,526.0,530.5,516.75,517.0,109465
2025-10-28 01:00:00,529.0,535.0,524.0,524.0,105303
2025-10-29 01:00:00,532.25,533.75,526.75,528.5,90090
2025-10-30 01:00:00,524.25,535.5,520.25,533.25,101549
2025-10-31 01:00:00,534.0,534.25,517.25,524.25,111375
2025-11-03 01:00:00,543.5,545.0,531.25,534.0,0
2025-11-04 01:00:00,550.25,550.5,539.75,542.75,116421
2025-11-05 01:00:00,554.75,555.0,546.25,549.5,72195
2025-11-06 01:00:00,535.5,554.5,534.5,552.75,119141
2025-11-07 01:00:00,527.75,537.5,526.25,535.5,127657
2025-11-10 01:00:00,535.75,537.25,527.5,528.0,92410
2025-11-11 01:00:00,536.0,539.0,531.25,535.75,80355
2025-11-12 01:00:00,536.0,536.75,527.5,536.0,95686
2025-11-13 01:00:00,535.75,539.25,530.75,536.25,92763
2025-11-14 01:00:00,527.25,544.5,524.5,535.75,85222
2025-11-17 01:00:00,544.25,545.75,525.75,526.75,64246
2025-11-18 01:00:00,546.5,549.75,540.5,544.5,34471
2025-11-19 01:00:00,536.75,550.5,535.0,546.0,37984
2025-11-20 01:00:00,527.0,543.25,526.0,537.0,41598
2025-11-21 01:00:00,529.75,532.5,522.75,541.5,66486
