Price,close,high,low,open,volume
Ticker,ZW=F,ZW=F,ZW=F,ZW=F,ZW=F
date,,,,,
2025-10-10 02:00:00,507.5,509.5,507.5,508.5,469
2025-10-10 02:30:00,508.0,508.75,507.75,507.75,78
2025-10-10 03:00:00,508.0,508.25,508.0,508.25,41
2025-10-10 03:30:00,507.5,508.0,507.5,508.0,55
2025-10-10 04:00:00,507.5,507.5,507.0,507.5,34
2025-10-10 04:30:00,508.0,508.0,507.75,507.75,31
2025-10-10 05:00:00,508.0,508.25,507.75,508.25,23
2025-10-10 05:30:00,508.25,508.25,508.0,508.0,30
2025-10-10 06:00:00,507.5,508.0,507.5,508.0,21
2025-10-10 06:30:00,507.25,507.5,507.25,507.5,42
2025-10-10 07:00:00,509.0,509.25,507.5,507.5,448
2025-10-10 07:30:00,508.5,508.75,508.5,508.75,53
2025-10-10 08:00:00,508.75,509.5,508.25,508.25,181
2025-10-10 08:30:00,508.0,508.75,507.75,508.75,107
2025-10-10 09:00:00,508.5,508.5,506.75,508.0,413
2025-10-10 09:30:00,507.0,508.75,506.5,508.75,717
2025-10-10 10:00:00,506.5,507.25,506.0,506.75,462
2025-10-10 10:30:00,507.5,507.75,506.5,506.75,389
2025-10-10 11:00:00,507.25,507.75,506.75,507.5,277
2025-10-10 11:30:00,506.5,506.75,506.25,506.5,209
2025-10-10 12:00:00,505.75,506.25,505.25,506.25,732
2025-10-10 12:30:00,505.5,505.75,505.25,505.75,309
2025-10-10 13:00:00,504.5,505.5,504.5,505.25,872
2025-10-10 13:30:00,502.75,504.75,502.5,504.75,2726
2025-10-10 14:00:00,503.75,503.75,502.25,502.75,1531
2025-10-10 14:30:00,503.0,503.75,503.0,503.75,400
2025-10-10 15:30:00,504.25,504.75,501.25,503.0,8024
2025-10-10 16:00:00,503.0,504.5,502.5,504.25,3121
2025-10-10 16:30:00,500.5,503.0,500.25,503.0,3631
2025-10-10 17:00:00,497.75,500.5,497.25,500.25,9403
2025-10-10 17:30:00,497.25,497.75,497.0,497.5,3580
2025-10-10 18:00:00,499.5,500.0,497.0,497.25,4491
2025-10-10 18:30:00,498.75,499.75,498.5,499.5,1647
2025-10-10 19:00:00,498.5,499.0,496.75,498.75,3430
2025-10-10 19:30:00,498.5,498.5,497.5,498.5,2902
2025-10-10 20:00:00,498.5,499.5,497.75,498.5,7895
2025-10-13 06:00:00,499.75,499.75,498.5,498.5,3030
2025-10-13 06:30:00,499.5,499.75,499.25,499.5,94
2025-10-13 07:00:00,499.5,499.5,499.25,499.5,124
2025-10-13 07:30:00,499.0,499.75,498.25,499.5,519
2025-10-13 08:00:00,498.75,498.75,498.0,498.75,254
2025-10-13 08:30:00,498.5,498.75,498.0,498.75,215
2025-10-13 09:00:00,498.0,498.75,497.5,498.25,571
2025-10-13 09:30:00,499.0,499.0,498.0,498.0,215
2025-10-13 10:00:00,497.25,499.25,497.25,498.75,382
2025-10-13 10:30:00,498.0,498.5,496.5,497.25,1071
2025-10-13 11:00:00,498.0,498.25,497.0,498.25,344
2025-10-13 11:30:00,498.25,498.5,497.75,497.75,235
2025-10-13 12:00:00,497.25,498.25,497.0,498.25,246
2025-10-13 12:30:00,496.25,497.25,495.5,497.0,1207
2025-10-13 13:00:00,495.25,497.0,495.0,496.0,814
2025-10-13 13:30:00,496.25,497.0,495.0,495.25,1438
2025-10-13 14:00:00,494.75,496.25,494.5,496.25,907
2025-10-13 14:30:00,495.25,495.75,494.75,494.75,648
2025-10-13 15:30:00,496.75,497.75,495.25,496.5,5459
2025-10-13 16:00:00,498.0,498.25,494.75,496.5,5028
2025-10-13 16:30:00,499.0,500.0,498.0,498.0,6396
2025-10-13 17:00:00,499.0,500.0,498.5,499.25,3026
2025-10-13 17:30:00,499.25,500.5,498.75,499.0,2824
2025-10-13 18:00:00,498.25,499.25,497.75,499.25,2034
2025-10-13 18:30:00,498.25,498.5,497.5,498.5,2240
2025-10-13 19:00:00,498.0,498.5,496.25,498.25,2831
2025-10-13 19:30:00,497.75,498.25,497.0,497.75,1351
2025-10-13 20:00:00,496.75,498.0,496.25,497.5,5722
2025-10-14 02:00:00,496.0,498.5,495.75,498.5,314
2025-10-14 02:30:00,496.25,496.25,495.75,496.0,71
2025-10-14 03:00:00,496.25,496.5,496.0,496.25,86
2025-10-14 03:30:00,495.75,497.25,495.75,496.5,159
2025-10-14 04:00:00,495.75,496.25,495.75,495.75,88
2025-10-14 04:30:00,496.0,496.25,495.5,495.5,83
2025-10-14 05:00:00,495.5,495.75,495.0,495.75,187
2025-10-14 05:30:00,495.75,495.75,495.5,495.75,31
2025-10-14 06:00:00,495.0,495.5,494.5,495.5,198
2025-10-14 06:30:00,495.0,495.0,494.75,495.0,15
2025-10-14 07:00:00,494.75,495.0,494.75,494.75,43
2025-10-14 08:00:00,493.25,494.0,493.25,493.5,1387
2025-10-14 08:30:00,494.25,494.5,493.25,493.5,522
2025-10-14 09:00:00,494.0,494.0,493.5,494.0,333
2025-10-14 09:30:00,494.5,494.5,493.5,494.0,244
2025-10-14 10:00:00,494.5,494.75,494.0,494.5,203
2025-10-14 10:30:00,494.25,494.5,493.75,494.5,229
2025-10-14 11:00:00,494.0,494.25,493.75,494.0,318
2025-10-14 11:30:00,493.25,494.0,492.75,494.0,1037
2025-10-14 12:00:00,493.25,493.5,492.75,493.25,737
2025-10-14 12:30:00,493.5,493.5,492.75,493.0,647
2025-10-14 13:00:00,493.0,493.25,492.25,493.25,1011
2025-10-14 13:30:00,492.75,493.5,492.5,493.0,907
2025-10-14 14:00:00,492.75,493.25,492.5,492.75,1238
