Price,close,high,low,open,volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
date,,,,,
2025-11-17 09:00:00,23924.599609375,23924.919921875,23884.83984375,23890.48046875,0
2025-11-17 09:15:00,23899.16015625,23928.48046875,23885.990234375,23925.33984375,0
2025-11-17 09:30:00,23915.58984375,23927.490234375,23888.580078125,23898.990234375,0
2025-11-17 09:45:00,23890.23046875,23915.58984375,23884.08984375,23915.58984375,0
2025-11-17 10:00:00,23849.900390625,23897.4609375,23831.119140625,23890.23046875,0
2025-11-17 10:15:00,23855.5,23867.310546875,23847.029296875,23850.08984375,0
2025-11-17 10:30:00,23844.0,23855.83984375,23816.51953125,23855.5,0
2025-11-17 10:45:00,23819.779296875,23847.23046875,23815.75,23844.849609375,0
2025-11-17 11:00:00,23790.19921875,23820.109375,23788.890625,23820.109375,0
2025-11-17 11:15:00,23761.599609375,23790.19921875,23760.939453125,23790.19921875,0
2025-11-17 11:30:00,23772.650390625,23785.779296875,23756.3203125,23761.939453125,0
2025-11-17 11:45:00,23742.9296875,23773.029296875,23739.470703125,23772.650390625,0
2025-11-17 12:00:00,23751.919921875,23751.919921875,23727.689453125,23742.9296875,0
2025-11-17 12:15:00,23776.6796875,23780.779296875,23750.44921875,23751.919921875,0
2025-11-17 12:30:00,23755.970703125,23787.140625,23755.4296875,23776.169921875,0
2025-11-17 12:45:00,23746.359375,23763.130859375,23735.26953125,23755.970703125,0
2025-11-17 13:00:00,23710.849609375,23746.05078125,23701.26953125,23746.05078125,0
2025-11-17 13:15:00,23731.220703125,23738.150390625,23710.849609375,23710.849609375,0
2025-11-17 13:30:00,23703.4296875,23731.869140625,23702.880859375,23730.900390625,0
2025-11-17 13:45:00,23726.630859375,23733.05078125,23689.630859375,23703.4296875,0
2025-11-17 14:00:00,23708.849609375,23736.279296875,23704.44921875,23726.630859375,0
2025-11-17 14:15:00,23711.150390625,23721.369140625,23699.9296875,23708.75,0
2025-11-17 14:30:00,23663.859375,23711.69921875,23662.669921875,23710.390625,0
2025-11-17 14:45:00,23669.259765625,23669.259765625,23635.0,23663.26953125,0
2025-11-17 15:00:00,23656.33984375,23687.900390625,23650.720703125,23669.259765625,0
2025-11-17 15:15:00,23650.890625,23675.189453125,23649.779296875,23656.33984375,0
2025-11-17 15:30:00,23687.390625,23700.439453125,23644.990234375,23654.33984375,0
2025-11-17 15:45:00,23704.349609375,23713.5,23684.380859375,23687.390625,0
2025-11-17 16:00:00,23666.640625,23713.880859375,23653.650390625,23707.380859375,0
2025-11-17 16:15:00,23656.98046875,23675.869140625,23637.26953125,23666.91015625,0
2025-11-17 16:30:00,23627.669921875,23663.689453125,23601.880859375,23656.919921875,0
2025-11-17 16:45:00,23580.19921875,23627.880859375,23575.8203125,23627.119140625,0
2025-11-17 17:00:00,23546.080078125,23590.73046875,23544.919921875,23580.98046875,0
2025-11-17 17:15:00,23581.55078125,23581.55078125,23529.73046875,23546.310546875,0
2025-11-18 09:00:00,23271.4296875,23309.30078125,23227.44921875,23238.330078125,0
2025-11-18 09:15:00,23270.310546875,23297.75,23245.240234375,23271.169921875,0
2025-11-18 09:30:00,23321.359375,23358.44921875,23262.16015625,23270.080078125,0
2025-11-18 09:45:00,23297.810546875,23334.669921875,23282.359375,23324.2890625,0
2025-11-18 10:00:00,23325.380859375,23327.69921875,23283.810546875,23297.810546875,0
2025-11-18 10:15:00,23329.75,23358.75,23320.560546875,23325.220703125,0
2025-11-18 10:30:00,23304.400390625,23330.859375,23282.759765625,23330.119140625,0
2025-11-18 10:45:00,23346.80078125,23349.9609375,23301.08984375,23303.890625,0
2025-11-18 11:00:00,23295.55078125,23346.80078125,23295.509765625,23346.80078125,0
2025-11-18 11:15:00,23293.640625,23297.19921875,23279.470703125,23295.470703125,0
2025-11-18 11:30:00,23283.150390625,23318.720703125,23278.9609375,23293.640625,0
2025-11-18 11:45:00,23330.23046875,23331.189453125,23281.08984375,23283.330078125,0
2025-11-18 12:00:00,23306.0390625,23354.1796875,23303.560546875,23330.009765625,0
2025-11-18 12:15:00,23321.140625,23324.58984375,23299.69921875,23306.099609375,0
