Price,close,high,low,open,volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
date,,,,,
2025-10-10 03:30:00,26493.16015625,26539.470703125,26360.779296875,26523.890625,0
2025-10-10 04:00:00,26525.490234375,26547.509765625,26407.119140625,26491.51953125,0
2025-10-10 04:30:00,26475.25,26558.869140625,26444.830078125,26526.310546875,0
2025-10-10 05:00:00,26458.91015625,26501.2109375,26420.94921875,26472.6796875,0
2025-10-10 05:30:00,26446.859375,26478.830078125,26436.4296875,26453.580078125,0
2025-10-10 06:00:00,26447.859375,26447.859375,26447.859375,26447.859375,0
2025-10-10 07:00:00,26384.4296875,26472.009765625,26382.419921875,26446.330078125,0
2025-10-10 07:30:00,26402.609375,26413.859375,26324.279296875,26384.140625,0
2025-10-10 08:00:00,26313.83984375,26413.7109375,26291.060546875,26402.58984375,0
2025-10-10 08:30:00,26309.310546875,26332.380859375,26247.0390625,26315.8203125,0
2025-10-10 09:00:00,26290.220703125,26361.029296875,26273.330078125,26308.01953125,0
2025-10-10 09:30:00,26290.099609375,26298.220703125,26255.529296875,26289.349609375,0
2025-10-10 10:00:00,26290.3203125,26290.3203125,26289.48046875,26289.48046875,0
2025-10-13 03:30:00,25773.69921875,25883.2109375,25634.0,25634.0,0
2025-10-13 04:00:00,25791.2109375,25819.990234375,25636.01953125,25767.48046875,0
2025-10-13 04:30:00,25699.630859375,25849.130859375,25699.16015625,25791.1796875,0
2025-10-13 05:00:00,25493.859375,25702.8203125,25492.580078125,25702.8203125,0
2025-10-13 05:30:00,25375.8203125,25521.240234375,25336.08984375,25493.619140625,0
2025-10-13 06:00:00,25374.0,25374.0,25373.4296875,25373.4296875,0
2025-10-13 07:00:00,25592.619140625,25592.619140625,25364.390625,25378.919921875,0
2025-10-13 07:30:00,25675.759765625,25680.2890625,25551.359375,25591.939453125,0
2025-10-13 08:00:00,25655.890625,25722.630859375,25607.55078125,25672.76953125,0
2025-10-13 08:30:00,25727.740234375,25743.849609375,25650.939453125,25655.3203125,0
2025-10-13 09:00:00,25837.560546875,25837.560546875,25644.720703125,25729.060546875,0
2025-10-13 09:30:00,25858.259765625,25895.619140625,25807.4296875,25838.240234375,0
2025-10-13 10:00:00,25889.48046875,25889.48046875,25854.509765625,25854.509765625,0
2025-10-14 03:30:00,25972.849609375,26102.6796875,25921.4609375,25969.2109375,0
2025-10-14 04:00:00,25874.05078125,26009.44921875,25854.0390625,25976.169921875,0
2025-10-14 04:30:00,25812.939453125,25944.650390625,25801.810546875,25876.23046875,0
2025-10-14 05:00:00,25776.33984375,25871.130859375,25724.6796875,25812.919921875,0
2025-10-14 05:30:00,25838.029296875,25842.759765625,25754.689453125,25775.69921875,0
2025-10-14 06:00:00,25839.0703125,25839.0703125,25837.640625,25837.640625,0
2025-10-14 07:00:00,25698.740234375,25776.0390625,25545.150390625,25776.0390625,0
2025-10-14 07:30:00,25487.640625,25487.640625,25487.640625,25487.640625,0
2025-10-14 08:00:00,25404.650390625,25494.01953125,25346.109375,25486.169921875,0
2025-10-14 08:30:00,25434.6796875,25467.01953125,25349.279296875,25405.419921875,0
2025-10-14 09:00:00,25417.83984375,25457.220703125,25331.640625,25435.390625,0
2025-10-14 09:30:00,25431.0703125,25460.810546875,25353.380859375,25410.76953125,0
2025-10-14 10:00:00,25441.349609375,25441.349609375,25431.240234375,25431.240234375,0
2025-10-15 03:30:00,25775.939453125,25780.669921875,25593.44921875,25714.890625,0
2025-10-15 04:00:00,25804.939453125,25870.609375,25747.9296875,25778.890625,0
2025-10-15 04:30:00,25656.7890625,25821.2890625,25650.83984375,25804.4609375,0
2025-10-15 05:00:00,25757.94921875,25771.310546875,25655.08984375,25664.30078125,0
2025-10-15 05:30:00,25749.41015625,25785.130859375,25728.6796875,25758.140625,0
2025-10-15 06:00:00,25749.6796875,25749.6796875,25749.6796875,25749.6796875,0
2025-10-15 07:00:00,25799.220703125,25818.869140625,25746.509765625,25764.009765625,0
2025-10-15 07:30:00,25843.0703125,25865.890625,25775.189453125,25801.25,0
2025-10-15 08:00:00,25909.4296875,25935.369140625,25829.099609375,25842.869140625,0
2025-10-15 08:30:00,25926.83984375,25955.990234375,25883.1796875,25909.05078125,0
2025-10-15 09:00:00,25964.51953125,25982.2109375,25907.73046875,25923.240234375,0
2025-10-15 09:30:00,25906.2109375,25966.7890625,25892.19921875,25959.400390625,0
2025-10-15 10:00:00,25910.599609375,25910.599609375,25906.009765625,25906.009765625,0
2025-10-16 03:30:00,25973.130859375,26022.48046875,25841.5,25890.009765625,0
2025-10-16 04:00:00,25919.880859375,26062.80078125,25914.2109375,25973.240234375,0
2025-10-16 04:30:00,25911.919921875,25961.0703125,25859.08984375,25918.900390625,0
2025-10-16 05:00:00,25759.08984375,25915.310546875,25755.890625,25914.140625,0
2025-10-16 05:30:00,25799.900390625,25813.970703125,25749.359375,25756.509765625,0
2025-10-16 06:00:00,25799.26953125,25799.619140625,25799.26953125,25799.619140625,0
2025-10-16 07:00:00,25724.51953125,25811.029296875,25700.830078125,25798.009765625,0
2025-10-16 07:30:00,25750.73046875,25769.69921875,25687.3203125,25726.33984375,0
2025-10-16 08:00:00,25808.2109375,25827.029296875,25733.16015625,25745.759765625,0
